Date,DATE,STA1,STA2,STA3,STA4,STA5,STA6,STA7,STA8,STA9,STA10,STA11,STA12,STA13,STA14,STA15,STA16,STA17,STA19,STA20,STA21,STAHQ
12/16/09,1/26/2009,-99,22,-99,-99,-99,-99,-99,-99,24,-99,-99,-99,-99,-99,-99,-99,21,21,-99,-99,9
12/21/09,1/27/2009,-99,21,-99,-99,-99,-99,-99,-99,20,-99,-99,-99,-99,-99,-99,-99,12,16,-99,-99,8
12/28/09,1/28/2009,-99,19,-99,-99,-99,-99,-99,-99,25,-99,-99,-99,-99,-99,-99,-99,21,12,-99,-99,15
1/6/10,1/29/2009,-99,29,-99,-99,-99,-99,-99,-99,32,-99,-99,-99,-99,-99,-99,-99,21,39,-99,-99,13
1/11/10,1/30/2009,-99,30,-99,-99,-99,-99,-99,-99,33,-99,-99,-99,-99,-99,-99,-99,22,38,-99,-99,13
100119,1/31/2009,-99,37,-99,-99,-99,-99,-99,-99,40,-99,-99,-99,-99,-99,-99,-99,19,23,-99,-99,20
1/26/10,2/1/2009,-99,35,-99,-99,-99,-99,-99,-99,37,-99,-99,-99,-99,-99,-99,-99,20,36,-99,-99,20
2/1/10,2/2/2009,-99,36,-99,-99,-99,-99,-99,-99,40,-99,-99,-99,-99,-99,-99,-99,40,37,-99,-99,12
100208,2/3/2009,-99,34,-99,-99,-99,-99,-99,-99,38,-99,-99,-99,-99,-99,-99,-99,26,16,-99,-99,13
100215,2/4/2009,-99,31,-99,-99,-99,-99,-99,-99,38,-99,-99,-99,-99,-99,-99,-99,27,23,-99,-99,8
100222,2/5/2009,-99,32,-99,-99,-99,-99,-99,-99,44,-99,-99,-99,-99,-99,-99,-99,33,42,-99,-99,13
100302,2/6/2009,-99,49,-99,-99,-99,-99,-99,-99,56,-99,-99,-99,-99,-99,-99,-99,57,58,-99,-99,7
100308,2/7/2009,-99,32,-99,-99,-99,-99,-99,-99,58,-99,-99,-99,-99,-99,-99,-99,57,52,-99,-99,0
100316,2/8/2009,-99,13,-99,-99,-99,-99,-99,-99,45,-99,-99,-99,-99,-99,-99,-99,47,29,-99,-99,0
100322,2/9/2009,-99,0,-99,-99,-99,-99,-99,-99,10,-99,-99,-99,-99,-99,-99,-99,48,16,-99,-99,0
100331,2/10/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,41,0,-99,-99,0
100405,2/11/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
101229,2/12/2009,-99,20,-99,-99,-99,-99,-99,-99,17,-99,-99,-99,-99,-99,-99,-99,9,15,-99,-99,5
110104,2/13/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
110110,2/14/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
110120,2/15/2009,-99,22,-99,-99,-99,-99,-99,-99,33,-99,-99,-99,-99,-99,-99,-99,13,13,-99,-99,24
110125,2/16/2009,-99,26,-99,-99,-99,-99,-99,-99,36,-99,-99,-99,-99,-99,-99,-99,18,22,-99,-99,26
110131,2/17/2009,-99,31,-99,-99,-99,-99,-99,-99,39,-99,-99,-99,-99,-99,-99,-99,24,26,-99,-99,22
110207,2/18/2009,-99,46,-99,-99,-99,-99,-99,-99,54,-99,-99,-99,-99,-99,-99,-99,46,40,-99,-99,47
110214,2/19/2009,-99,49,-99,-99,-99,-99,-99,-99,65,-99,-99,-99,-99,-99,-99,-99,41,52,-99,-99,43
110222,2/20/2009,-99,44,-99,-99,-99,-99,-99,-99,75,-99,-99,-99,-99,-99,-99,-99,45,56,-99,-99,46
110301,2/21/2009,-99,60,-99,-99,-99,-99,-99,-99,97,-99,-99,-99,-99,-99,-99,-99,96,87,-99,-99,66
110308,2/22/2009,-99,46,-99,-99,-99,-99,-99,-99,84,-99,-99,-99,-99,-99,-99,-99,44,63,-99,-99,51
110314,2/23/2009,-99,65,-99,-99,-99,-99,-99,-99,87,-99,-99,-99,-99,-99,-99,-99,90,56,-99,-99,37
110321,2/24/2009,-99,48,-99,-99,-99,-99,-99,-99,68,-99,-99,-99,-99,-99,-99,-99,110,70,-99,-99,45
110328,2/25/2009,-99,52,-99,-99,-99,-99,-99,-99,91,-99,-99,-99,-99,-99,-99,-99,99,83,-99,-99,35
110406,2/26/2009,-99,56,-99,-99,-99,-99,-99,-99,109,-99,-99,-99,-99,-99,-99,-99,106,81,-99,-99,13
110412,2/27/2009,-99,0,-99,-99,-99,-99,-99,-99,59,-99,-99,-99,-99,-99,-99,-99,98,71,-99,-99,0
110418,2/28/2009,-99,0,-99,-99,-99,-99,-99,-99,33,-99,-99,-99,-99,-99,-99,-99,98,49,-99,-99,0
110425,3/1/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,95,30,-99,-99,0
110502,3/2/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,35,0,-99,-99,0
110510,3/3/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
111227,3/4/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
120103,3/5/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
120109,3/6/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
120118,3/7/2009,-99,9,-99,-99,-99,-99,-99,-99,17,-99,-99,-99,-99,-99,-99,-99,26,33,-99,-99,5
120123,3/8/2009,-99,12,-99,-99,-99,-99,-99,-99,15,-99,-99,-99,-99,-99,-99,-99,26,21,-99,-99,7
120130,3/9/2009,-99,21,-99,-99,-99,-99,-99,-99,29,-99,-99,-99,-99,-99,-99,-99,26,37,-99,-99,11
120206,3/10/2009,-99,16,-99,-99,-99,-99,-99,-99,25,-99,-99,-99,-99,-99,-99,-99,41,33,-99,-99,13
120213,3/11/2009,-99,19,-99,-99,-99,-99,-99,-99,30,-99,-99,-99,-99,-99,-99,-99,40,38,-99,-99,9
120221,3/12/2009,-99,19,-99,-99,-99,-99,-99,-99,37,-99,-99,-99,-99,-99,-99,-99,34,39,-99,-99,1
120227,3/13/2009,-99,27,-99,-99,-99,-99,-99,-99,36,-99,-99,-99,-99,-99,-99,-99,49,49,-99,-99,10
120306,3/14/2009,-99,36,-99,-99,-99,-99,-99,-99,50,-99,-99,-99,-99,-99,-99,-99,34,49,-99,-99,20
120312,3/15/2009,-99,34,-99,-99,-99,-99,-99,-99,39,-99,-99,-99,-99,-99,-99,-99,50,42,-99,-99,6
120319,3/16/2009,-99,0,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,33,13,-99,-99,0
120326,3/17/2009,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
,3/18/2009,,,,,,,,,,,,,,,,,,,,,
,3/19/2009,,,,,,,,,,,,,,,,,,,,,
,3/20/2009,,,,,,,,,,,,,,,,,,,,,
,3/21/2009,,,,,,,,,,,,,,,,,,,,,
,3/22/2009,,,,,,,,,,,,,,,,,,,,,
,3/23/2009,,,,,,,,,,,,,,,,,,,,,
,3/24/2009,,,,,,,,,,,,,,,,,,,,,
,3/25/2009,,,,,,,,,,,,,,,,,,,,,
,3/26/2009,,,,,,,,,,,,,,,,,,,,,
,3/27/2009,,,,,,,,,,,,,,,,,,,,,
,3/28/2009,,,,,,,,,,,,,,,,,,,,,
,3/29/2009,,,,,,,,,,,,,,,,,,,,,
,3/30/2009,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,,,,,,,,,,,,,,,,,,,,,
,4/1/2009,,,,,,,,,,,,,,,,,,,,,
,4/2/2009,,,,,,,,,,,,,,,,,,,,,
,4/3/2009,,,,,,,,,,,,,,,,,,,,,
,4/4/2009,,,,,,,,,,,,,,,,,,,,,
,4/5/2009,,,,,,,,,,,,,,,,,,,,,
,4/6/2009,,,,,,,,,,,,,,,,,,,,,
,4/7/2009,,,,,,,,,,,,,,,,,,,,,
,4/8/2009,,,,,,,,,,,,,,,,,,,,,
,4/9/2009,,,,,,,,,,,,,,,,,,,,,
,4/10/2009,,,,,,,,,,,,,,,,,,,,,
,4/11/2009,,,,,,,,,,,,,,,,,,,,,
,4/12/2009,,,,,,,,,,,,,,,,,,,,,
,4/13/2009,,,,,,,,,,,,,,,,,,,,,
,4/14/2009,,,,,,,,,,,,,,,,,,,,,
,4/15/2009,,,,,,,,,,,,,,,,,,,,,
,4/16/2009,,,,,,,,,,,,,,,,,,,,,
,4/17/2009,,,,,,,,,,,,,,,,,,,,,
,4/18/2009,,,,,,,,,,,,,,,,,,,,,
,4/19/2009,,,,,,,,,,,,,,,,,,,,,
,4/20/2009,,,,,,,,,,,,,,,,,,,,,
,4/21/2009,,,,,,,,,,,,,,,,,,,,,
,4/22/2009,,,,,,,,,,,,,,,,,,,,,
,4/23/2009,,,,,,,,,,,,,,,,,,,,,
,4/24/2009,,,,,,,,,,,,,,,,,,,,,
,4/25/2009,,,,,,,,,,,,,,,,,,,,,
,4/26/2009,,,,,,,,,,,,,,,,,,,,,
,4/27/2009,,,,,,,,,,,,,,,,,,,,,
,4/28/2009,,,,,,,,,,,,,,,,,,,,,
,4/29/2009,,,,,,,,,,,,,,,,,,,,,
,4/30/2009,,,,,,,,,,,,,,,,,,,,,
,5/1/2009,,,,,,,,,,,,,,,,,,,,,
,5/2/2009,,,,,,,,,,,,,,,,,,,,,
,5/3/2009,,,,,,,,,,,,,,,,,,,,,
,5/4/2009,,,,,,,,,,,,,,,,,,,,,
,5/5/2009,,,,,,,,,,,,,,,,,,,,,
,5/6/2009,,,,,,,,,,,,,,,,,,,,,
,5/7/2009,,,,,,,,,,,,,,,,,,,,,
,5/8/2009,,,,,,,,,,,,,,,,,,,,,
,5/9/2009,,,,,,,,,,,,,,,,,,,,,
,5/10/2009,,,,,,,,,,,,,,,,,,,,,
,5/11/2009,,,,,,,,,,,,,,,,,,,,,
,5/12/2009,,,,,,,,,,,,,,,,,,,,,
,5/13/2009,,,,,,,,,,,,,,,,,,,,,
,5/14/2009,,,,,,,,,,,,,,,,,,,,,
,5/15/2009,,,,,,,,,,,,,,,,,,,,,
,5/16/2009,,,,,,,,,,,,,,,,,,,,,
,5/17/2009,,,,,,,,,,,,,,,,,,,,,
,5/18/2009,,,,,,,,,,,,,,,,,,,,,
,5/19/2009,,,,,,,,,,,,,,,,,,,,,
,5/20/2009,,,,,,,,,,,,,,,,,,,,,
,5/21/2009,,,,,,,,,,,,,,,,,,,,,
,5/22/2009,,,,,,,,,,,,,,,,,,,,,
,5/23/2009,,,,,,,,,,,,,,,,,,,,,
,5/24/2009,,,,,,,,,,,,,,,,,,,,,
,5/25/2009,,,,,,,,,,,,,,,,,,,,,
,5/26/2009,,,,,,,,,,,,,,,,,,,,,
,5/27/2009,,,,,,,,,,,,,,,,,,,,,
,5/28/2009,,,,,,,,,,,,,,,,,,,,,
,5/29/2009,,,,,,,,,,,,,,,,,,,,,
,5/30/2009,,,,,,,,,,,,,,,,,,,,,
,5/31/2009,,,,,,,,,,,,,,,,,,,,,
,6/1/2009,,,,,,,,,,,,,,,,,,,,,
,6/2/2009,,,,,,,,,,,,,,,,,,,,,
,6/3/2009,,,,,,,,,,,,,,,,,,,,,
,6/4/2009,,,,,,,,,,,,,,,,,,,,,
,6/5/2009,,,,,,,,,,,,,,,,,,,,,
,6/6/2009,,,,,,,,,,,,,,,,,,,,,
,6/7/2009,,,,,,,,,,,,,,,,,,,,,
,6/8/2009,,,,,,,,,,,,,,,,,,,,,
,6/9/2009,,,,,,,,,,,,,,,,,,,,,
,6/10/2009,,,,,,,,,,,,,,,,,,,,,
,6/11/2009,,,,,,,,,,,,,,,,,,,,,
,6/12/2009,,,,,,,,,,,,,,,,,,,,,
,6/13/2009,,,,,,,,,,,,,,,,,,,,,
,6/14/2009,,,,,,,,,,,,,,,,,,,,,
,6/15/2009,,,,,,,,,,,,,,,,,,,,,
,6/16/2009,,,,,,,,,,,,,,,,,,,,,
,6/17/2009,,,,,,,,,,,,,,,,,,,,,
,6/18/2009,,,,,,,,,,,,,,,,,,,,,
,6/19/2009,,,,,,,,,,,,,,,,,,,,,
,6/20/2009,,,,,,,,,,,,,,,,,,,,,
,6/21/2009,,,,,,,,,,,,,,,,,,,,,
,6/22/2009,,,,,,,,,,,,,,,,,,,,,
,6/23/2009,,,,,,,,,,,,,,,,,,,,,
,6/24/2009,,,,,,,,,,,,,,,,,,,,,
,6/25/2009,,,,,,,,,,,,,,,,,,,,,
,6/26/2009,,,,,,,,,,,,,,,,,,,,,
,6/27/2009,,,,,,,,,,,,,,,,,,,,,
,6/28/2009,,,,,,,,,,,,,,,,,,,,,
,6/29/2009,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,,,,,,,,,,,,,,,,,,,,,
,7/1/2009,,,,,,,,,,,,,,,,,,,,,
,7/2/2009,,,,,,,,,,,,,,,,,,,,,
,7/3/2009,,,,,,,,,,,,,,,,,,,,,
,7/4/2009,,,,,,,,,,,,,,,,,,,,,
,7/5/2009,,,,,,,,,,,,,,,,,,,,,
,7/6/2009,,,,,,,,,,,,,,,,,,,,,
,7/7/2009,,,,,,,,,,,,,,,,,,,,,
,7/8/2009,,,,,,,,,,,,,,,,,,,,,
,7/9/2009,,,,,,,,,,,,,,,,,,,,,
,7/10/2009,,,,,,,,,,,,,,,,,,,,,
,7/11/2009,,,,,,,,,,,,,,,,,,,,,
,7/12/2009,,,,,,,,,,,,,,,,,,,,,
,7/13/2009,,,,,,,,,,,,,,,,,,,,,
,7/14/2009,,,,,,,,,,,,,,,,,,,,,
,7/15/2009,,,,,,,,,,,,,,,,,,,,,
,7/16/2009,,,,,,,,,,,,,,,,,,,,,
,7/17/2009,,,,,,,,,,,,,,,,,,,,,
,7/18/2009,,,,,,,,,,,,,,,,,,,,,
,7/19/2009,,,,,,,,,,,,,,,,,,,,,
,7/20/2009,,,,,,,,,,,,,,,,,,,,,
,7/21/2009,,,,,,,,,,,,,,,,,,,,,
,7/22/2009,,,,,,,,,,,,,,,,,,,,,
,7/23/2009,,,,,,,,,,,,,,,,,,,,,
,7/24/2009,,,,,,,,,,,,,,,,,,,,,
,7/25/2009,,,,,,,,,,,,,,,,,,,,,
,7/26/2009,,,,,,,,,,,,,,,,,,,,,
,7/27/2009,,,,,,,,,,,,,,,,,,,,,
,7/28/2009,,,,,,,,,,,,,,,,,,,,,
,7/29/2009,,,,,,,,,,,,,,,,,,,,,
,7/30/2009,,,,,,,,,,,,,,,,,,,,,
,7/31/2009,,,,,,,,,,,,,,,,,,,,,
,8/1/2009,,,,,,,,,,,,,,,,,,,,,
,8/2/2009,,,,,,,,,,,,,,,,,,,,,
,8/3/2009,,,,,,,,,,,,,,,,,,,,,
,8/4/2009,,,,,,,,,,,,,,,,,,,,,
,8/5/2009,,,,,,,,,,,,,,,,,,,,,
,8/6/2009,,,,,,,,,,,,,,,,,,,,,
,8/7/2009,,,,,,,,,,,,,,,,,,,,,
,8/8/2009,,,,,,,,,,,,,,,,,,,,,
,8/9/2009,,,,,,,,,,,,,,,,,,,,,
,8/10/2009,,,,,,,,,,,,,,,,,,,,,
,8/11/2009,,,,,,,,,,,,,,,,,,,,,
,8/12/2009,,,,,,,,,,,,,,,,,,,,,
,8/13/2009,,,,,,,,,,,,,,,,,,,,,
,8/14/2009,,,,,,,,,,,,,,,,,,,,,
,8/15/2009,,,,,,,,,,,,,,,,,,,,,
,8/16/2009,,,,,,,,,,,,,,,,,,,,,
,8/17/2009,,,,,,,,,,,,,,,,,,,,,
,8/18/2009,,,,,,,,,,,,,,,,,,,,,
,8/19/2009,,,,,,,,,,,,,,,,,,,,,
,8/20/2009,,,,,,,,,,,,,,,,,,,,,
,8/21/2009,,,,,,,,,,,,,,,,,,,,,
,8/22/2009,,,,,,,,,,,,,,,,,,,,,
,8/23/2009,,,,,,,,,,,,,,,,,,,,,
,8/24/2009,,,,,,,,,,,,,,,,,,,,,
,8/25/2009,,,,,,,,,,,,,,,,,,,,,
,8/26/2009,,,,,,,,,,,,,,,,,,,,,
,8/27/2009,,,,,,,,,,,,,,,,,,,,,
,8/28/2009,,,,,,,,,,,,,,,,,,,,,
,8/29/2009,,,,,,,,,,,,,,,,,,,,,
,8/30/2009,,,,,,,,,,,,,,,,,,,,,
,8/31/2009,,,,,,,,,,,,,,,,,,,,,
,9/1/2009,,,,,,,,,,,,,,,,,,,,,
,9/2/2009,,,,,,,,,,,,,,,,,,,,,
,9/3/2009,,,,,,,,,,,,,,,,,,,,,
,9/4/2009,,,,,,,,,,,,,,,,,,,,,
,9/5/2009,,,,,,,,,,,,,,,,,,,,,
,9/6/2009,,,,,,,,,,,,,,,,,,,,,
,9/7/2009,,,,,,,,,,,,,,,,,,,,,
,9/8/2009,,,,,,,,,,,,,,,,,,,,,
,9/9/2009,,,,,,,,,,,,,,,,,,,,,
,9/10/2009,,,,,,,,,,,,,,,,,,,,,
,9/11/2009,,,,,,,,,,,,,,,,,,,,,
,9/12/2009,,,,,,,,,,,,,,,,,,,,,
,9/13/2009,,,,,,,,,,,,,,,,,,,,,
,9/14/2009,,,,,,,,,,,,,,,,,,,,,
,9/15/2009,,,,,,,,,,,,,,,,,,,,,
,9/16/2009,,,,,,,,,,,,,,,,,,,,,
,9/17/2009,,,,,,,,,,,,,,,,,,,,,
,9/18/2009,,,,,,,,,,,,,,,,,,,,,
,9/19/2009,,,,,,,,,,,,,,,,,,,,,
,9/20/2009,,,,,,,,,,,,,,,,,,,,,
,9/21/2009,,,,,,,,,,,,,,,,,,,,,
,9/22/2009,,,,,,,,,,,,,,,,,,,,,
,9/23/2009,,,,,,,,,,,,,,,,,,,,,
,9/24/2009,,,,,,,,,,,,,,,,,,,,,
,9/25/2009,,,,,,,,,,,,,,,,,,,,,
,9/26/2009,,,,,,,,,,,,,,,,,,,,,
,9/27/2009,,,,,,,,,,,,,,,,,,,,,
,9/28/2009,,,,,,,,,,,,,,,,,,,,,
,9/29/2009,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,,,,,,,,,,,,,,,,,,,,,
,10/1/2009,,,,,,,,,,,,,,,,,,,,,
,10/2/2009,,,,,,,,,,,,,,,,,,,,,
,10/3/2009,,,,,,,,,,,,,,,,,,,,,
,10/4/2009,,,,,,,,,,,,,,,,,,,,,
,10/5/2009,,,,,,,,,,,,,,,,,,,,,
,10/6/2009,,,,,,,,,,,,,,,,,,,,,
,10/7/2009,,,,,,,,,,,,,,,,,,,,,
,10/8/2009,,,,,,,,,,,,,,,,,,,,,
,10/9/2009,,,,,,,,,,,,,,,,,,,,,
,10/10/2009,,,,,,,,,,,,,,,,,,,,,
,10/11/2009,,,,,,,,,,,,,,,,,,,,,
,10/12/2009,,,,,,,,,,,,,,,,,,,,,
,10/13/2009,,,,,,,,,,,,,,,,,,,,,
,10/14/2009,,,,,,,,,,,,,,,,,,,,,
,10/15/2009,,,,,,,,,,,,,,,,,,,,,
,10/16/2009,,,,,,,,,,,,,,,,,,,,,
,10/17/2009,,,,,,,,,,,,,,,,,,,,,
,10/18/2009,,,,,,,,,,,,,,,,,,,,,
,10/19/2009,,,,,,,,,,,,,,,,,,,,,
,10/20/2009,,,,,,,,,,,,,,,,,,,,,
,10/21/2009,,,,,,,,,,,,,,,,,,,,,
,10/22/2009,,,,,,,,,,,,,,,,,,,,,
,10/23/2009,,,,,,,,,,,,,,,,,,,,,
,10/24/2009,,,,,,,,,,,,,,,,,,,,,
,10/25/2009,,,,,,,,,,,,,,,,,,,,,
,10/26/2009,,,,,,,,,,,,,,,,,,,,,
,10/27/2009,,,,,,,,,,,,,,,,,,,,,
,10/28/2009,,,,,,,,,,,,,,,,,,,,,
,10/29/2009,,,,,,,,,,,,,,,,,,,,,
,10/30/2009,,,,,,,,,,,,,,,,,,,,,
,10/31/2009,,,,,,,,,,,,,,,,,,,,,
,11/1/2009,,,,,,,,,,,,,,,,,,,,,
,11/2/2009,,,,,,,,,,,,,,,,,,,,,
,11/3/2009,,,,,,,,,,,,,,,,,,,,,
,11/4/2009,,,,,,,,,,,,,,,,,,,,,
,11/5/2009,,,,,,,,,,,,,,,,,,,,,
,11/6/2009,,,,,,,,,,,,,,,,,,,,,
,11/7/2009,,,,,,,,,,,,,,,,,,,,,
,11/8/2009,,,,,,,,,,,,,,,,,,,,,
,11/9/2009,,,,,,,,,,,,,,,,,,,,,
,11/10/2009,,,,,,,,,,,,,,,,,,,,,
,11/11/2009,,,,,,,,,,,,,,,,,,,,,
,11/12/2009,,,,,,,,,,,,,,,,,,,,,
,11/13/2009,,,,,,,,,,,,,,,,,,,,,
,11/14/2009,,,,,,,,,,,,,,,,,,,,,
,11/15/2009,,,,,,,,,,,,,,,,,,,,,
,11/16/2009,,,,,,,,,,,,,,,,,,,,,
,11/17/2009,,,,,,,,,,,,,,,,,,,,,
,11/18/2009,,,,,,,,,,,,,,,,,,,,,
,11/19/2009,,,,,,,,,,,,,,,,,,,,,
,11/20/2009,,,,,,,,,,,,,,,,,,,,,
,11/21/2009,,,,,,,,,,,,,,,,,,,,,
,11/22/2009,,,,,,,,,,,,,,,,,,,,,
,11/23/2009,,,,,,,,,,,,,,,,,,,,,
,11/24/2009,,,,,,,,,,,,,,,,,,,,,
,11/25/2009,,,,,,,,,,,,,,,,,,,,,
,11/26/2009,,,,,,,,,,,,,,,,,,,,,
,11/27/2009,,,,,,,,,,,,,,,,,,,,,
,11/28/2009,,,,,,,,,,,,,,,,,,,,,
,11/29/2009,,,,,,,,,,,,,,,,,,,,,
,11/30/2009,,,,,,,,,,,,,,,,,,,,,
,12/1/2009,,,,,,,,,,,,,,,,,,,,,
,12/2/2009,,,,,,,,,,,,,,,,,,,,,
,12/3/2009,,,,,,,,,,,,,,,,,,,,,
,12/4/2009,,,,,,,,,,,,,,,,,,,,,
,12/5/2009,,,,,,,,,,,,,,,,,,,,,
,12/6/2009,,,,,,,,,,,,,,,,,,,,,
,12/7/2009,,,,,,,,,,,,,,,,,,,,,
,12/8/2009,,,,,,,,,,,,,,,,,,,,,
,12/9/2009,,,,,,,,,,,,,,,,,,,,,
,12/10/2009,,,,,,,,,,,,,,,,,,,,,
,12/11/2009,,,,,,,,,,,,,,,,,,,,,
,12/12/2009,,,,,,,,,,,,,,,,,,,,,
,12/13/2009,,,,,,,,,,,,,,,,,,,,,
,12/14/2009,,,,,,,,,,,,,,,,,,,,,
,12/15/2009,,,,,,,,,,,,,,,,,,,,,
,12/16/2009,,,,,,,,,,,,,,,,,,,,,
,12/17/2009,,,,,,,,,,,,,,,,,,,,,
,12/18/2009,,,,,,,,,,,,,,,,,,,,,
,12/19/2009,,,,,,,,,,,,,,,,,,,,,
,12/20/2009,,,,,,,,,,,,,,,,,,,,,
,12/21/2009,,,,,,,,,,,,,,,,,,,,,
,12/22/2009,,,,,,,,,,,,,,,,,,,,,
,12/23/2009,,,,,,,,,,,,,,,,,,,,,
,12/24/2009,,,,,,,,,,,,,,,,,,,,,
,12/25/2009,,,,,,,,,,,,,,,,,,,,,
,12/26/2009,,,,,,,,,,,,,,,,,,,,,
,12/27/2009,,,,,,,,,,,,,,,,,,,,,
,12/28/2009,,,,,,,,,,,,,,,,,,,,,
,12/29/2009,,,,,,,,,,,,,,,,,,,,,
,12/30/2009,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,,,,,,,,,,,,,,,,,,,,,
,1/1/2010,,,,,,,,,,,,,,,,,,,,,
,1/2/2010,,,,,,,,,,,,,,,,,,,,,
,1/3/2010,,,,,,,,,,,,,,,,,,,,,
,1/4/2010,,,,,,,,,,,,,,,,,,,,,
,1/5/2010,,,,,,,,,,,,,,,,,,,,,
,1/6/2010,,,,,,,,,,,,,,,,,,,,,
,1/7/2010,,,,,,,,,,,,,,,,,,,,,
,1/8/2010,,,,,,,,,,,,,,,,,,,,,
